date,interest_rate
2022-01-15,55.54
2022-01-16,55.54
2022-01-17,55.54
2022-01-18,55.59
2022-01-19,55.34
2022-01-20,55.28
2022-01-21,55.31
2022-01-22,55.31
2022-01-23,55.31
2022-01-24,55.35
2022-01-25,55.33
2022-01-26,55.28
2022-01-27,55.36
2022-01-28,55.26
2022-01-29,55.26
2022-01-30,55.26
2022-01-31,55.33
2022-02-01,55.31
2022-02-02,55.25
2022-02-03,55.32
2022-02-04,55.34
2022-02-05,55.34
2022-02-06,55.34
2022-02-07,55.27
2022-02-08,55.22
2022-02-09,55.26
2022-02-10,55.24
2022-02-11,55.23
2022-02-12,55.23
2022-02-13,55.23
2022-02-14,55.21
2022-02-15,55.27
2022-02-16,55.24
2022-02-17,55.2
2022-02-18,55.0
2022-02-19,55.0
2022-02-20,55.0
2022-02-21,55.06
2022-02-22,55.05
2022-02-23,55.02
2022-02-24,55.08
2022-02-25,55.14
2022-02-26,55.14
2022-02-27,55.14
2022-02-28,55.14
2022-03-01,55.14
2022-03-02,55.13
2022-03-03,55.19
2022-03-04,55.2
2022-03-05,55.2
2022-03-06,55.2
2022-03-07,55.19
2022-03-08,55.17
2022-03-09,55.21
2022-03-10,55.16
2022-03-11,55.12
2022-03-12,55.12
2022-03-13,55.12
2022-03-14,55.07
2022-03-15,55.09
2022-03-16,55.04
2022-03-17,54.99
2022-03-18,54.65
2022-03-19,54.65
2022-03-20,54.65
2022-03-21,54.71
2022-03-22,54.68
2022-03-23,54.64
2022-03-24,54.69
2022-03-25,54.68
2022-03-26,54.68
2022-03-27,54.68
2022-03-28,51.62
2022-03-29,54.82
2022-03-30,54.78
2022-03-31,54.85
2022-04-01,54.9
2022-04-02,54.9
2022-04-03,54.9
2022-04-04,54.94
2022-04-05,54.92
2022-04-06,55.02
2022-04-07,54.97
2022-04-08,54.9
2022-04-09,54.9
2022-04-10,54.9
2022-04-11,55.0
2022-04-12,52.34
2022-04-13,53.72
2022-04-14,53.72
2022-04-15,53.72
2022-04-16,53.72
2022-04-17,53.72
2022-04-18,53.12
2022-04-19,53.12
2022-04-20,53.09
2022-04-21,53.0
2022-04-22,53.02
2022-04-23,53.02
2022-04-24,53.02
2022-04-25,53.2
2022-04-26,53.2
2022-04-27,53.25
2022-04-28,53.19
2022-04-29,53.08
2022-04-30,53.08
2022-05-01,53.08
2022-05-02,53.16
2022-05-03,53.22
2022-05-04,53.2
2022-05-05,53.16
2022-05-06,53.05
2022-05-07,53.05
2022-05-08,53.05
2022-05-09,53.13
2022-05-10,53.01
2022-05-11,52.97
2022-05-12,53.02
2022-05-13,52.99
2022-05-14,52.99
2022-05-15,52.99
2022-05-16,53.0
2022-05-17,52.98
2022-05-18,53.01
2022-05-19,52.55
2022-05-20,52.55
2022-05-21,52.55
2022-05-22,52.55
2022-05-23,52.6
2022-05-24,52.69
2022-05-25,52.68
2022-05-26,52.66
2022-05-27,52.65
2022-05-28,52.65
2022-05-29,52.65
2022-05-30,52.65
2022-05-31,52.82
2022-06-01,52.8
2022-06-02,52.79
2022-06-03,52.82
2022-06-04,52.82
2022-06-05,52.82
2022-06-06,53.01
2022-06-07,53.01
2022-06-08,53.0
2022-06-09,53.09
2022-06-10,53.08
2022-06-11,53.08
2022-06-12,53.08
2022-06-13,53.08
2022-06-14,53.38
2022-06-15,53.5
2022-06-16,53.51
2022-06-17,52.84
2022-06-18,52.84
2022-06-19,52.84
2022-06-20,52.84
2022-06-21,52.55
2022-06-22,52.6
2022-06-23,52.69
2022-06-24,52.69
2022-06-25,52.69
2022-06-26,52.69
2022-06-27,52.81
2022-06-28,52.88
2022-06-29,53.24
2022-06-30,53.27
2022-07-01,53.34
2022-07-02,53.34
2022-07-03,53.34
2022-07-04,53.34
2022-07-05,53.34
2022-07-06,53.1
2022-07-07,53.16
2022-07-08,53.46
2022-07-09,53.46
2022-07-10,53.46
2022-07-11,53.52
2022-07-12,53.51
2022-07-13,53.53
2022-07-14,53.56
2022-07-15,53.58
2022-07-16,53.58
2022-07-17,53.58
2022-07-18,53.6
2022-07-19,53.59
2022-07-20,53.17
2022-07-21,53.16
2022-07-22,53.2
2022-07-23,53.2
2022-07-24,53.2
2022-07-25,53.23
2022-07-26,53.63
2022-07-27,53.87
2022-07-28,53.93
2022-07-29,53.97
2022-07-30,53.97
2022-07-31,53.97
2022-08-01,54.07
2022-08-02,54.13
2022-08-03,53.8
2022-08-04,53.83
2022-08-05,54.23
2022-08-06,54.23
2022-08-07,54.23
2022-08-08,54.25
2022-08-09,54.28
2022-08-10,54.3
2022-08-11,54.34
2022-08-12,54.38
2022-08-13,54.38
2022-08-14,54.38
2022-08-15,54.38
2022-08-16,54.45
2022-08-17,54.54
2022-08-18,54.55
2022-08-19,54.58
2022-08-20,54.58
2022-08-21,54.58
2022-08-22,54.58
2022-08-23,54.22
2022-08-24,54.25
2022-08-25,54.36
2022-08-26,54.43
2022-08-27,54.43
2022-08-28,54.43
2022-08-29,54.84
2022-08-30,54.9
2022-08-31,56.44
2022-09-01,54.9
2022-09-02,54.56
2022-09-03,54.56
2022-09-04,54.56
2022-09-05,54.65
2022-09-06,54.69
2022-09-07,54.71
2022-09-08,54.74
2022-09-09,54.65
2022-09-10,54.65
2022-09-11,54.65
2022-09-12,54.72
2022-09-13,54.74
2022-09-14,54.51
2022-09-15,54.51
2022-09-16,54.55
2022-09-17,54.55
2022-09-18,54.55
2022-09-19,54.54
2022-09-20,54.51
2022-09-21,54.5
2022-09-22,54.53
2022-09-23,54.57
2022-09-24,54.57
2022-09-25,54.57
2022-09-26,54.83
2022-09-27,54.9
2022-09-28,54.92
2022-09-29,55.25
2022-09-30,55.28
2022-10-01,55.28
2022-10-02,55.28
2022-10-03,55.41
2022-10-04,55.0
2022-10-05,54.99
2022-10-06,55.05
2022-10-07,55.09
2022-10-08,55.09
2022-10-09,55.09
2022-10-10,55.16
2022-10-11,55.23
2022-10-12,55.23
2022-10-13,55.31
2022-10-14,55.33
2022-10-15,55.33
2022-10-16,55.33
2022-10-17,55.45
2022-10-18,55.49
2022-10-19,56.08
2022-10-20,55.81
2022-10-21,55.82
2022-10-22,55.82
2022-10-23,55.82
2022-10-24,55.82
2022-10-25,55.91
2022-10-26,55.96
2022-10-27,55.97
2022-10-28,55.97
2022-10-29,55.97
2022-10-30,55.97
2022-10-31,55.97
2022-11-01,56.08
2022-11-02,55.66
2022-11-03,55.67
2022-11-04,55.76
2022-11-05,55.76
2022-11-06,55.76
2022-11-07,55.81
2022-11-08,55.83
2022-11-09,56.22
2022-11-10,56.22
2022-11-11,56.25
2022-11-12,56.25
2022-11-13,56.25
2022-11-14,55.87
2022-11-15,55.98
2022-11-16,55.92
2022-11-17,55.94
2022-11-18,55.98
2022-11-19,55.98
2022-11-20,55.98
2022-11-21,55.98
2022-11-22,56.05
2022-11-23,56.1
2022-11-24,56.15
2022-11-25,56.21
2022-11-26,56.21
2022-11-27,56.21
2022-11-28,56.41
2022-11-29,56.38
2022-11-30,56.64
2022-12-01,56.52
2022-12-02,56.07
2022-12-03,56.07
2022-12-04,56.07
2022-12-05,56.16
2022-12-06,56.49
2022-12-07,56.58
2022-12-08,56.62
2022-12-09,56.67
2022-12-10,56.67
2022-12-11,56.67
2022-12-12,56.67
2022-12-13,57.05
2022-12-14,57.06
2022-12-15,57.03
2022-12-16,56.89
2022-12-17,56.89
2022-12-18,56.89
2022-12-19,56.96
2022-12-20,56.97
2022-12-21,57.21
2022-12-22,57.02
2022-12-23,56.96
2022-12-24,56.96
2022-12-25,56.96
2022-12-26,57.01
2022-12-27,57.02
2022-12-28,57.03
2022-12-29,57.03
2022-12-30,57.05
2022-12-31,57.05
2023-01-01,57.05
2023-01-02,57.05
2023-01-03,57.08
2023-01-04,57.08
2023-01-05,57.08
2023-01-06,57.09
2023-01-07,57.09
2023-01-08,57.09
2023-01-09,57.09
2023-01-10,57.1
2023-01-11,57.11
2023-01-12,57.12
2023-01-13,57.12
2023-01-14,57.12
2023-01-15,57.12
2023-01-16,57.2
2023-01-17,57.16
2023-01-18,57.17
2023-01-19,57.15
2023-01-20,57.09
2023-01-21,57.09
2023-01-22,57.09
2023-01-23,57.1
2023-01-24,57.19
2023-01-25,57.19
2023-01-26,57.17
2023-01-27,57.43
2023-01-28,57.43
2023-01-29,57.43
2023-01-30,57.05
2023-01-31,57.41
2023-02-01,57.03
2023-02-02,56.99
2023-02-03,56.97
2023-02-04,56.97
2023-02-05,56.97
2023-02-06,56.96
2023-02-07,56.97
2023-02-08,57.0
2023-02-09,57.01
2023-02-10,57.07
2023-02-11,57.07
2023-02-12,57.07
2023-02-13,57.12
2023-02-14,57.14
2023-02-15,57.2
2023-02-16,57.23
2023-02-17,57.13
2023-02-18,57.13
2023-02-19,57.13
2023-02-20,57.13
2023-02-21,57.13
2023-02-22,56.66
2023-02-23,56.66
2023-02-24,56.59
2023-02-25,56.59
2023-02-26,56.59
2023-02-27,56.56
2023-02-28,56.55
2023-03-01,56.54
2023-03-02,56.66
2023-03-03,56.65
2023-03-04,56.65
2023-03-05,56.65
2023-03-06,56.54
2023-03-07,56.53
2023-03-08,56.54
2023-03-09,56.54
2023-03-10,56.52
2023-03-11,56.52
2023-03-12,56.52
2023-03-13,56.52
2023-03-14,56.53
2023-03-15,56.53
2023-03-16,56.55
2023-03-17,56.45
2023-03-18,56.45
2023-03-19,56.45
2023-03-20,56.55
2023-03-21,56.61
2023-03-22,56.62
2023-03-23,56.62
2023-03-24,56.63
2023-03-25,56.63
2023-03-26,56.63
2023-03-27,56.66
2023-03-28,56.67
2023-03-29,56.68
2023-03-30,56.68
2023-03-31,56.68
2023-04-01,56.68
2023-04-02,56.68
2023-04-03,56.88
2023-04-04,56.59
2023-04-05,56.6
2023-04-06,56.6
2023-04-07,56.6
2023-04-08,56.6
2023-04-09,56.6
2023-04-10,56.6
2023-04-11,56.59
2023-04-12,56.69
2023-04-13,56.6
2023-04-14,56.58
2023-04-15,56.58
2023-04-16,56.58
2023-04-17,56.59
2023-04-18,56.61
2023-04-19,56.61
2023-04-20,56.61
2023-04-21,56.61
2023-04-22,56.61
2023-04-23,56.61
2023-04-24,56.59
2023-04-25,56.58
2023-04-26,56.57
2023-04-27,56.57
2023-04-28,56.63
2023-04-29,56.63
2023-04-30,56.63
2023-05-01,56.63
2023-05-02,56.62
2023-05-03,56.5
2023-05-04,56.5
2023-05-05,56.49
2023-05-06,56.49
2023-05-07,56.49
2023-05-08,56.51
2023-05-09,56.49
2023-05-10,56.52
2023-05-11,56.63
2023-05-12,56.65
2023-05-13,56.65
2023-05-14,56.65
2023-05-15,56.64
2023-05-16,56.66
2023-05-17,56.67
2023-05-18,56.67
2023-05-19,56.7
2023-05-20,56.7
2023-05-21,56.7
2023-05-22,56.7
2023-05-23,56.66
2023-05-24,56.68
2023-05-25,56.68
2023-05-26,56.68
2023-05-27,56.68
2023-05-28,56.68
2023-05-29,56.66
2023-05-30,56.64
2023-05-31,56.63
2023-06-01,56.65
2023-06-02,56.48
2023-06-03,56.48
2023-06-04,56.48
2023-06-05,56.6
2023-06-06,56.72
2023-06-07,56.73
2023-06-08,56.74
2023-06-09,56.71
2023-06-10,56.71
2023-06-11,56.71
2023-06-12,56.71
2023-06-13,56.72
2023-06-14,56.86
2023-06-15,56.86
2023-06-16,56.86
2023-06-17,56.86
2023-06-18,56.86
2023-06-19,56.86
2023-06-20,56.87
2023-06-21,56.89
2023-06-22,56.88
2023-06-23,56.86
2023-06-24,56.86
2023-06-25,56.86
2023-06-26,56.89
2023-06-27,56.89
2023-06-28,56.9
2023-06-29,56.91
2023-06-30,56.88
2023-07-01,56.88
2023-07-02,56.88
2023-07-03,56.88
2023-07-04,56.91
2023-07-05,56.91
2023-07-06,57.15
2023-07-07,57.11
2023-07-08,57.11
2023-07-09,57.11
2023-07-10,57.13
2023-07-11,57.13
2023-07-12,57.13
2023-07-13,57.11
2023-07-14,57.09
2023-07-15,57.09
2023-07-16,57.09
2023-07-17,57.38
2023-07-18,57.22
2023-07-19,57.23
2023-07-20,57.27
2023-07-21,57.26
2023-07-22,57.26
2023-07-23,57.26
2023-07-24,57.26
2023-07-25,57.29
2023-07-26,57.31
2023-07-27,57.32
2023-07-28,57.31
2023-07-29,57.31
2023-07-30,57.31
2023-07-31,57.48
2023-08-01,57.44
2023-08-02,57.31
2023-08-03,57.34
2023-08-04,57.34
2023-08-05,57.34
2023-08-06,57.34
2023-08-07,57.38
2023-08-08,57.39
2023-08-09,57.56
2023-08-10,57.57
2023-08-11,57.54
2023-08-12,57.54
2023-08-13,57.54
2023-08-14,57.54
2023-08-15,57.17
2023-08-16,57.19
2023-08-17,57.19
2023-08-18,57.22
2023-08-19,57.22
2023-08-20,57.22
2023-08-21,57.49
2023-08-22,57.25
2023-08-23,57.25
2023-08-24,57.26
2023-08-25,57.27
2023-08-26,57.27
2023-08-27,57.27
2023-08-28,57.3
2023-08-29,57.41
2023-08-30,56.48
2023-08-31,57.32
2023-09-01,57.33
2023-09-02,57.33
2023-09-03,57.33
2023-09-04,57.34
2023-09-05,57.19
2023-09-06,57.21
2023-09-07,57.21
2023-09-08,57.2
2023-09-09,57.2
2023-09-10,57.2
2023-09-11,57.2
2023-09-12,57.46
2023-09-13,57.36
2023-09-14,57.35
2023-09-15,57.34
2023-09-16,57.34
2023-09-17,57.34
2023-09-18,57.47
2023-09-19,57.21
2023-09-20,57.19
2023-09-21,57.18
2023-09-22,56.4
2023-09-23,56.4
2023-09-24,56.4
2023-09-25,57.15
2023-09-26,57.16
2023-09-27,57.15
2023-09-28,57.16
2023-09-29,57.16
2023-09-30,57.16
2023-10-01,57.16
2023-10-02,57.52
2023-10-03,57.0
2023-10-04,57.0
2023-10-05,57.0
2023-10-06,56.99
2023-10-07,56.99
2023-10-08,56.99
2023-10-09,57.4
2023-10-10,57.15
2023-10-11,57.16
2023-10-12,57.16
2023-10-13,57.16
2023-10-14,57.16
2023-10-15,57.16
2023-10-16,56.45
2023-10-17,57.18
2023-10-18,57.18
2023-10-19,57.21
2023-10-20,57.16
2023-10-21,57.16
2023-10-22,57.16
2023-10-23,57.4
2023-10-24,57.17
2023-10-25,57.16
2023-10-26,57.18
2023-10-27,57.17
2023-10-28,57.17
2023-10-29,57.17
2023-10-30,57.17
2023-10-31,57.2
2023-11-01,57.22
2023-11-02,57.05
2023-11-03,57.05
2023-11-04,57.05
2023-11-05,57.05
2023-11-06,57.05
2023-11-07,57.05
2023-11-08,57.06
2023-11-09,57.06
2023-11-10,57.25
2023-11-11,57.25
2023-11-12,57.25
2023-11-13,57.57
2023-11-14,57.24
2023-11-15,57.25
2023-11-16,57.26
2023-11-17,57.28
2023-11-18,57.28
2023-11-19,57.28
2023-11-20,57.37
2023-11-21,57.32
2023-11-22,57.52
2023-11-23,57.32
2023-11-24,57.32
2023-11-25,57.32
2023-11-26,57.32
2023-11-27,57.44
2023-11-28,57.59
2023-11-29,57.38
2023-11-30,57.39
2023-12-01,57.38
2023-12-02,57.38
2023-12-03,57.38
2023-12-04,57.48
2023-12-05,57.2
2023-12-06,57.34
2023-12-07,57.36
2023-12-08,57.49
2023-12-09,57.49
2023-12-10,57.49
2023-12-11,57.49
2023-12-12,57.44
2023-12-13,57.48
2023-12-14,57.74
2023-12-15,57.93
2023-12-16,57.93
2023-12-17,57.93
2023-12-18,58.02
2023-12-19,58.08
2023-12-20,58.1
2023-12-21,58.11
2023-12-22,58.12
2023-12-23,58.12
2023-12-24,58.12
2023-12-25,58.12
2023-12-26,58.2
2023-12-27,58.21
2023-12-28,58.22
2023-12-29,58.2
2023-12-30,58.2
2023-12-31,58.2
2024-01-01,58.2
2024-01-02,58.26
2024-01-03,58.26
2024-01-04,58.17
2024-01-05,58.17
2024-01-06,58.17
2024-01-07,58.17
2024-01-08,58.26
2024-01-09,58.3
2024-01-10,58.33
2024-01-11,58.41
2024-01-12,58.4
2024-01-13,58.4
2024-01-14,58.4
2024-01-15,58.58
2024-01-16,58.46
2024-01-17,58.47
2024-01-18,58.49
2024-01-19,58.5
2024-01-20,58.5
2024-01-21,58.5
2024-01-22,58.52
2024-01-23,58.61
2024-01-24,58.62
2024-01-25,58.63
2024-01-26,58.64
2024-01-27,58.64
2024-01-28,58.64
2024-01-29,58.81
2024-01-30,58.66
2024-01-31,58.66
2024-02-01,58.82
2024-02-02,58.68
2024-02-03,58.68
2024-02-04,58.68
2024-02-05,58.59
2024-02-06,58.43
2024-02-07,58.42
2024-02-08,58.4
2024-02-09,58.47
2024-02-10,58.47
2024-02-11,58.47
2024-02-12,58.47
2024-02-13,58.47
2024-02-14,58.59
2024-02-15,58.6
2024-02-16,58.6
2024-02-17,58.6
2024-02-18,58.6
2024-02-19,58.61
2024-02-20,58.62
2024-02-21,58.59
2024-02-22,58.59
2024-02-23,58.63
2024-02-24,58.63
2024-02-25,58.63
2024-02-26,58.67
2024-02-27,58.68
2024-02-28,58.65
2024-02-29,58.65
2024-03-01,58.64
2024-03-02,58.64
2024-03-03,58.64
2024-03-04,58.62
2024-03-05,58.63
2024-03-06,58.69
2024-03-07,58.78
2024-03-08,58.83
2024-03-09,58.83
2024-03-10,58.83
2024-03-11,58.73
2024-03-12,58.74
2024-03-13,58.76
2024-03-14,58.73
2024-03-15,58.76
2024-03-16,58.76
2024-03-17,58.76
2024-03-18,58.85
2024-03-19,58.85
2024-03-20,58.89
2024-03-21,58.77
2024-03-22,58.77
2024-03-23,58.77
2024-03-24,58.77
2024-03-25,58.78
2024-03-26,58.8
2024-03-27,58.81
2024-03-28,58.81
2024-03-29,58.81
2024-03-30,58.81
2024-03-31,58.81
2024-04-01,58.91
2024-04-02,58.83
2024-04-03,58.87
2024-04-04,58.78
2024-04-05,58.77
2024-04-06,58.77
2024-04-07,58.77
2024-04-08,58.79
2024-04-09,58.79
2024-04-10,58.79
2024-04-11,58.79
2024-04-12,58.78
2024-04-13,58.78
2024-04-14,58.78
2024-04-15,58.79
2024-04-16,58.78
2024-04-17,58.78
2024-04-18,58.77
2024-04-19,58.77
2024-04-20,58.77
2024-04-21,58.77
2024-04-22,58.76
2024-04-23,58.76
2024-04-24,58.79
2024-04-25,58.76
2024-04-26,58.8
2024-04-27,58.8
2024-04-28,58.8
2024-04-29,58.89
2024-04-30,58.82
2024-05-01,58.82
2024-05-02,58.79
2024-05-03,58.79
2024-05-04,58.79
2024-05-05,58.79
2024-05-06,58.87
2024-05-07,58.8
